,low,high,open,close,volume,time
45684,1351.53,1353.6,1351.53,1353.6,1.6215,2021-01-31 05:33:00
45685,1349.25,1350.92,1350.72,1349.25,0.1969,2021-01-31 05:35:00
45686,1348.22,1348.22,1348.22,1348.22,0.2527,2021-01-31 05:36:00
45687,1344.77,1347.34,1344.77,1347.34,0.0326,2021-01-31 05:38:00
45688,1345.48,1345.48,1345.48,1345.48,0.0272,2021-01-31 05:40:00
45689,1345.85,1346.84,1345.85,1346.84,0.1826,2021-01-31 05:41:00
45690,1349.04,1351.29,1349.13,1351.29,0.305,2021-01-31 05:42:00
45691,1348.54,1351.65,1348.54,1351.65,0.3725,2021-01-31 05:46:00
45692,1349.39,1352.21,1349.39,1352.21,1.5267,2021-01-31 05:47:00
45693,1350.91,1353.53,1353.53,1350.91,0.0381,2021-01-31 05:51:00
45694,1352.04,1352.8,1352.04,1352.8,0.0716,2021-01-31 05:53:00
45695,1351.55,1352.99,1352.8,1351.55,0.1472,2021-01-31 05:56:00
45696,1346.9,1348.54,1348.54,1346.9,0.0834,2021-01-31 06:01:00
45697,1346.28,1349.86,1346.28,1349.86,0.0911,2021-01-31 06:02:00
45698,1352.45,1352.45,1352.45,1352.45,0.0116,2021-01-31 06:05:00
45699,1349.67,1352.73,1352.73,1352.72,0.7233,2021-01-31 06:06:00
45700,1352.6,1353.59,1352.6,1353.59,0.7325,2021-01-31 06:12:00
45701,1353.26,1355.19,1353.26,1355.19,0.1231,2021-01-31 06:14:00
45702,1350.74,1351.67,1350.74,1350.96,0.1129,2021-01-31 06:17:00
45703,1354.95,1355.21,1355.21,1354.95,0.0845,2021-01-31 06:22:00
45704,1353.42,1354.2,1354.2,1353.42,0.0441,2021-01-31 06:24:00
45705,1348.7,1352.45,1352.45,1351.2,0.7689,2021-01-31 06:36:00
45706,1349.53,1349.93,1349.93,1349.53,0.0349,2021-01-31 06:42:00
45707,1347.64,1349.32,1347.64,1349.32,0.1189,2021-01-31 06:48:00
45708,1349.15,1352.89,1352.89,1349.15,0.1003,2021-01-31 06:50:00
45709,1348.94,1350.07,1350.07,1348.94,0.0689,2021-01-31 06:53:00
45710,1346.82,1349.66,1349.66,1346.82,0.184,2021-01-31 06:56:00
45711,1348.6,1351.04,1348.6,1349.97,0.4622,2021-01-31 06:58:00
45712,1350.03,1351.28,1350.03,1351.28,0.0371,2021-01-31 07:01:00
45713,1349.2,1350.21,1349.2,1350.18,1.6436,2021-01-31 07:06:00
45714,1349.23,1352.24,1350.78,1349.23,17.01102404,2021-01-31 07:10:00
45715,1351.25,1352.9,1351.25,1352.9,0.1865,2021-01-31 07:14:00
45716,1353.39,1354.07,1354.07,1353.39,0.0391,2021-01-31 07:16:00
45717,1353.9,1354.73,1354.28,1354.73,0.3245,2021-01-31 07:19:00
45718,1353.49,1355.23,1355.23,1353.49,0.219,2021-01-31 07:20:00
45719,1353.89,1353.89,1353.89,1353.89,0.2018,2021-01-31 07:23:00
45720,1350.7,1352.66,1352.66,1350.7,0.113,2021-01-31 07:26:00
45721,1348.98,1352.53,1352.53,1348.98,0.45826776,2021-01-31 07:28:00
45722,1348.65,1349.75,1348.84,1349.75,0.1685,2021-01-31 07:41:00
45723,1345.11,1350.66,1349.62,1345.11,2.6342,2021-01-31 07:45:00
45724,1347.99,1347.99,1347.99,1347.99,0.0297,2021-01-31 07:48:00
45725,1346.36,1347.41,1347.41,1346.36,0.0898,2021-01-31 07:49:00
45726,1343.8,1344.79,1344.79,1343.8,0.1768,2021-01-31 07:50:00
45727,1344.03,1346.51,1344.03,1346.51,0.1305,2021-01-31 07:56:00
